FIPS,NAME,QNAME,STATE,Geo_SUMLEV,Geo_LOGRECNO,REGION,DIVISION,STATEFIPS,Geo_CBSA,CBSA_Sizecode,CSA,Geo_AREALAND,Geo_AREAWATR,HousUnit,Geo_INTPTLAT,Geo_INTPTLON,Geo_LSADC,Geo_PARTFLAG,Geo_STATENS,Geo_CSASC,Geo_MEMI,TotPop,White,Black,AIAN,Asian,NHPI,Latinx,NatB,FB
3744380,"Statesville-Mooresville, NC Micro Area","Statesville-Mooresville, North Carolina",NC,320,360135,3,5,37,44380,18,172,1486221270,59749281,69013,35.7373713,-80.8708078,M2,W,1027616,21,2,159437,124107,18748,416,2899,36,10844,150944,8670
3745640,"Thomasville-Lexington, NC Micro Area","Thomasville-Lexington, North Carolina",NC,320,360139,3,5,37,45640,18,268,1431421129,37148773,72655,35.8203299,-80.1939767,M2,W,1027616,21,2,162878,133486,14269,634,1957,26,10408,155278,7350
3747260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area (part)","Virginia Beach-Norfolk-Newport News, North Carolina",NC,320,360143,3,5,37,47260,21,999,678194049,685673954,14453,36.4046718,-75.9557324,M1,P,1027616,0,1,23547,20876,1348,103,141,10,704,22970,707
3747820,"Washington, NC Micro Area","Washington, North Carolina",NC,320,360145,3,5,37,47820,16,999,2142417945,339348344,24688,35.4920608,-76.9084241,M2,W,1027616,0,2,47759,31705,12105,116,158,2,3166,45269,2273
3748900,"Wilmington, NC Metro Area","Wilmington, North Carolina",NC,320,360148,3,5,37,48900,19,999,4942480419,1042497532,205642,34.1574808,-78.040786,M1,W,1027616,0,1,362315,281017,50797,1687,3137,152,19459,346024,17624
3748980,"Wilson, NC Micro Area","Wilson, North Carolina",NC,320,360153,3,5,37,48980,17,999,953567109,14395628,35511,35.7198592,-77.929835,M2,W,1027616,0,2,81234,40157,31462,190,664,22,7724,75312,5708
3749180,"Winston-Salem, NC Metro Area","Winston-Salem, North Carolina",NC,320,360156,3,5,37,49180,19,268,3770865122,43979596,214375,36.1342684,-80.3241048,M1,W,1027616,21,1,477717,317660,95147,1204,6851,174,49274,441176,36853
4010220,"Ada, OK Micro Area","Ada, Oklahoma",OK,320,305457,3,7,40,10220,16,999,1865918266,12405563,16595,34.7579918,-96.6670353,M2,W,1102857,0,2,37492,25973,879,6331,244,17,1523,36851,587
4011060,"Altus, OK Micro Area","Altus, Oklahoma",OK,320,305460,3,7,40,11060,16,999,2078856062,4114418,12077,34.6231651,-99.3802399,M2,W,1102857,0,2,26446,17403,1918,407,303,52,5538,24537,1738
4011620,"Ardmore, OK Micro Area","Ardmore, Oklahoma",OK,320,305463,3,7,40,11620,17,999,3460665702,77668387,25687,34.1354727,-97.2186648,M2,W,1102857,0,2,56980,41684,3297,4641,547,8,3641,55161,1846
4012780,"Bartlesville, OK Micro Area","Bartlesville, Oklahoma",OK,320,305467,3,7,40,12780,17,538,1076020808,22829387,23451,36.7274054,-95.9327262,M2,W,1102857,20,2,50976,38691,1194,5119,552,16,2556,49429,1683
4020340,"Duncan, OK Micro Area","Duncan, Oklahoma",OK,320,305470,3,7,40,20340,16,999,2253922744,54698972,20658,34.5044581,-97.9392808,M2,W,1102857,0,2,45048,37173,841,2182,210,13,2790,43871,977
4020460,"Durant, OK Micro Area","Durant, Oklahoma",OK,320,305473,3,7,40,20460,16,999,2342567959,102228720,19586,33.969637,-96.3554392,M2,W,1102857,0,2,42416,31294,640,5366,214,11,2107,41550,944
4021120,"Elk City, OK Micro Area","Elk City, Oklahoma",OK,320,305476,3,7,40,21120,15,999,2335665049,5527162,9647,35.3232255,-99.5846687,M2,W,1102857,0,2,22119,17459,842,565,173,2,2619,21772,747
4021420,"Enid, OK Micro Area","Enid, Oklahoma",OK,320,305479,3,7,40,21420,17,999,2741414396,4140336,26831,36.3897851,-97.8343463,M2,W,1102857,0,2,60580,48744,1765,1280,577,1094,5353,56699,3573
4022900,"Fort Smith, AR-OK Metro Area (part)","Fort Smith, Oklahoma",OK,320,305482,3,7,40,22900,19,999,5859810464,155899674,40104,35.2052795,-94.7144505,M1,P,1102857,0,1,92775,64476,1734,14727,457,30,4892,89654,2347
4025100,"Guymon, OK Micro Area","Guymon, Oklahoma",OK,320,305485,3,7,40,25100,15,999,5286842403,19215744,8208,36.7316532,-101.4672303,M2,W,1102857,0,2,20640,10889,294,183,318,9,8659,16069,4551
4030020,"Lawton, OK Metro Area","Lawton, Oklahoma",OK,320,305488,3,7,40,30020,18,999,2769439538,37339122,50739,34.6408077,-98.4223372,M1,W,1102857,0,1,124098,73122,20794,6597,2663,635,13896,115646,7455
4032540,"McAlester, OK Micro Area","McAlester, Oklahoma",OK,320,305491,3,7,40,32540,16,999,3381130261,187421760,22634,34.9391327,-95.743744,M2,W,1102857,0,2,45837,32959,1497,6148,185,19,1786,44802,768
4033060,"Miami, OK Micro Area","Miami, Oklahoma",OK,320,305494,3,7,40,33060,16,999,1219421293,35709014,14060,36.8584207,-94.8397943,M2,W,1102857,0,2,31848,21454,234,5893,158,297,1499,31278,662
4034780,"Muskogee, OK Micro Area","Muskogee, Oklahoma",OK,320,305497,3,7,40,34780,17,999,2099056912,75962995,30908,35.6789407,-95.3714112,M2,W,1102857,0,2,70990,41362,7960,12137,381,20,3688,68634,2001
4036420,"Oklahoma City, OK Metro Area","Oklahoma City, Oklahoma",OK,320,305500,3,7,40,36420,21,416,14274866599,181711438,539077,35.4399516,-97.5189657,M1,W,1102857,21,1,1252987,845104,128174,47462,34808,934,142042,1159297,97650
4038620,"Ponca City, OK Micro Area","Ponca City, Oklahoma",OK,320,305509,3,7,40,38620,16,999,2382087117,65364078,21708,36.7733439,-97.180746,M2,W,1102857,0,2,46562,36113,910,4276,233,7,2992,44774,1514
4043060,"Shawnee, OK Micro Area","Shawnee, Oklahoma",OK,320,305512,3,7,40,43060,17,416,2040060341,14842424,29139,35.2683739,-96.9433302,M2,W,1102857,21,2,69442,51642,1969,8538,373,40,2878,68643,1033
4044660,"Stillwater, OK Micro Area","Stillwater, Oklahoma",OK,320,305515,3,7,40,44660,17,999,1773371786,31779003,33991,36.0756632,-96.9562461,M2,W,1102857,0,2,77350,61655,2757,3494,2679,34,2990,72686,4439
4045140,"Tahlequah, OK Micro Area","Tahlequah, Oklahoma",OK,320,305518,3,7,40,45140,16,999,1940956597,69625855,21455,35.8814787,-94.9865965,M2,W,1102857,0,2,46987,23591,582,15572,250,14,2952,45874,1291
4046140,"Tulsa, OK Metro Area","Tulsa, Oklahoma",OK,320,305521,3,7,40,46140,20,538,16237247624,494308674,409820,36.1495948,-96.0269501,M1,W,1102857,20,1,937478,635628,77683,74729,16317,523,78446,883495,53222
4048220,"Weatherford, OK Micro Area","Weatherford, Oklahoma",OK,320,305530,3,7,40,48220,16,999,2561024716,34321703,12204,35.5877215,-98.9199983,M2,W,1102857,0,2,27469,20169,794,1642,276,7,3830,25747,1836
4049260,"Woodward, OK Micro Area","Woodward, Oklahoma",OK,320,305533,3,7,40,49260,15,999,3217798327,9693408,8838,36.4131144,-99.3267692,M2,W,1102857,0,2,20081,16632,308,522,115,8,2128,19228,1004
4511340,"Anderson, SC Metro Area","Anderson, South Carolina",SC,320,209891,3,5,45,11340,18,273,1852945207,108805903,84774,34.5340296,-82.624628,M1,W,1779799,21,1,187126,147362,29810,420,1384,29,5447,182133,5095
4512260,"Augusta-Richmond County, GA-SC Metro Area (part)","Augusta-Richmond County, South Carolina",SC,320,209894,3,5,45,12260,20,999,4070011413,41064450,82808,33.5822254,-81.7542877,M1,P,1779799,0,1,187084,123762,48994,651,1412,63,9238,180221,6711
4513500,"Bennettsville, SC Micro Area","Bennettsville, South Carolina",SC,320,209897,3,5,45,13500,16,999,1242350170,14504245,12072,34.6319437,-79.6660589,M2,W,1779799,0,2,28933,11657,14652,1265,74,3,800,28216,534
4516700,"Charleston-North Charleston-Summerville, SC Metro Area","Charleston-North Charleston-Summerville, South Carolina",SC,320,209900,3,5,45,16700,20,999,6703350685,1488882450,298542,32.9174946,-80.0308789,M1,W,1779799,0,1,664607,420240,182363,2601,10657,519,35707,633367,35790
4516740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part)","Charlotte-Gastonia-Rock Hill, South Carolina",SC,320,209907,3,5,45,16740,21,172,1762732402,39400683,94196,34.9846099,-81.0873448,M1,P,1779799,21,1,226073,164371,42608,1777,3394,72,10075,216378,10198
4516900,"Chester, SC Micro Area","Chester, South Carolina",SC,320,209910,3,5,45,16900,16,172,1503894983,14261785,14701,34.6959555,-81.1108954,M2,W,1779799,21,2,33140,19590,12349,130,104,5,479,32714,314
4517900,"Columbia, SC Metro Area","Columbia, South Carolina",SC,320,209913,3,5,45,17900,20,192,9590077580,339992462,331470,34.0470331,-81.0482424,M1,W,1779799,20,1,767598,447927,252329,2259,12543,523,39153,730417,36882
4519900,"Dillon, SC Micro Area","Dillon, South Carolina",SC,320,209921,3,5,45,19900,16,999,1048614230,4454688,13742,34.3883647,-79.3569744,M2,W,1779799,0,2,32062,15152,14730,751,76,8,833,31067,666
4522500,"Florence, SC Metro Area","Florence, South Carolina",SC,320,209924,3,5,45,22500,18,999,3525278282,24377952,88963,34.1671083,-79.8342346,M1,W,1779799,0,1,205566,112098,84667,608,1861,29,4170,200719,4495
4523500,"Gaffney, SC Micro Area","Gaffney, South Carolina",SC,320,209928,3,5,45,23500,17,273,1016981703,11705005,23997,35.0789854,-81.6237001,M2,W,1779799,21,2,55342,40939,11214,129,308,6,2032,53976,1375
4523860,"Georgetown, SC Micro Area","Georgetown, South Carolina",SC,320,209931,3,5,45,23860,17,396,2107076193,572646611,33672,33.4226953,-79.3031921,M2,W,1779799,19,2,60158,37311,20128,128,269,6,1867,58623,1662
4524860,"Greenville-Mauldin-Easley, SC Metro Area","Greenville-Mauldin-Easley, South Carolina",SC,320,209934,3,5,45,24860,20,273,5167881337,91691970,277415,34.7874438,-82.3764398,M1,W,1779799,21,1,636986,467055,105169,1262,10847,256,42967,596048,42673
4524940,"Greenwood, SC Micro Area","Greenwood, South Carolina",SC,320,209941,3,5,45,24940,17,999,1177734978,21238099,31054,34.1881049,-82.1432977,M2,W,1779799,0,2,69661,42709,21728,139,568,11,3789,66628,2903
4525940,"Hilton Head Island-Beaufort, SC Micro Area","Hilton Head Island-Beaufort, South Carolina",SC,320,209944,3,5,45,25940,18,999,3189825040,1013101680,103322,32.3641353,-80.8028412,M2,W,1779799,0,2,187010,116542,41965,387,1991,83,23319,167913,19195
4529580,"Lancaster, SC Micro Area","Lancaster, South Carolina",SC,320,209949,3,5,45,29580,17,172,1422317473,15441829,32687,34.7054244,-80.7333076,M2,W,1779799,21,2,76652,53490,18162,214,492,15,3384,74098,2266
4534820,"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area","Myrtle Beach-North Myrtle Beach-Conway, South Carolina",SC,320,209952,3,5,45,34820,19,396,2936777435,313664031,185992,33.8105144,-78.9358286,M1,W,1779799,19,1,269291,208096,35753,1075,2774,232,16683,252494,18449
4535140,"Newberry, SC Micro Area","Newberry, South Carolina",SC,320,209957,3,5,45,35140,16,192,1631788278,44675199,17922,34.2717294,-81.5906896,M2,W,1779799,20,2,37508,22690,11533,99,116,10,2690,35319,2113
